公告类型,项目名称,所属行业,组织形式,开标时间,标书发售时间,公告内容,招标人,招标人地址,招标人联系人,招标人联系方式,招标代理机构,招标代理机构地址,招标代理机构联系人,招标代理机构联系方式,监督部门,监督部门地址,监督部门联系人,监督部门联系方式,依据文件,依据文号,发布日期,发布网站,公告历史,详情链接,来源栏目
招标公告,山大附中晋源学校东侧规划路工程施工,公共设施管理业,委托招标,2026-07-30,2026-07-09至2026-07-15,项目规模:山大附中晋源学校东侧规划路长度为482.601 米，道路规划红线宽15米，道路等级为城市支路。建设内容包含道路工程、排水工程、照明工程、电力管路工程、电信管路工程、交通工程、绿化工程等。项目总投资760.104958万元。 招标内容与范围：本招标项目划分为 1个标段，本次招标为其中的 山大附中晋源学校东侧规划路工程施工 本次招标范围为本项目施工图纸、工程量清单范围内全部工程施工,太原市晋源区城市建设和发展服务中心（太原市晋源区建筑工程质量服务站）,晋源区龙山大街住建局,孙霏,18635175557,山西泽悦工程项目管理有限公司,双塔西街安业商务楼C座四层4002,王小燕,13466838836,晋源区住房和城乡建设局,无,无,15535360222,关于山大附中晋源学校东侧规划路工程可行性研究报告（代项目建议书）的批复,晋源审投字【2026】第 0003号,无,山西省招标投标公共服务平台,山大附中晋源学校东侧规划路工程施工项目(1标段)招标公告|https://www.sxbid.com.cn/f/new/notice/1/78dc2aa41089423390f59c1ab79d6e85；山大附中晋源学校东侧规划路工程施工项目(1标段)招标公告|https://www.sxbid.com.cn/f/new/notice/1/78dc2aa41089423390f59c1ab79d6e85 山大附中晋源学校东侧规划路工程施工项目(1标段)最高投标限价|https://www.sxbid.com.cn/f/new/notice/1/ab2e0811612e49baac311a29f411b823,https://www.sxbid.com.cn/f/new/notice/1/78dc2aa41089423390f59c1ab79d6e85,样例详情页
招标公告,汾西县县乡公路病害修复工程,土木工程建筑业,委托招标,2026-08-05,2026-07-14至2026-07-20,001 汾西县县乡公路病害修复工程一标段： 包括义邢线、僧小线、闫和线、闫寺线、佃邢线、滩城线6条县乡公路，主要建设内容包括路基工程、路面工程、交通工程及沿线设施、临时工程，招标控制价为781.20万元；002汾西县县乡公路病害修复工程二标段， 包括岔上线、涧店线、什佃线、涧白线4条县乡公路，主要建设内容包括路基工程、路面工程、交通工程及沿线设施、临时工程，招标控制价为318.80万元,汾西县交通运输局,汾西县交通大厦,王军,0357-5123330,山西汇诚项目管理有限公司,山西省临汾市尧都区百汇郡邸1号楼1单元101,郭建芳,18536738967,临汾市交通运输局,临汾市秦蜀路71号,侯向峰,15935762829,汾西县行政审批服务管理局关于汾西县县乡公路病害修复工程可行性研究报告的批复,汾审管可研批(2026)13号,无,山西省招标投标公共服务平台,汾西县县乡公路病害修复工程招标公告|https://www.sxbid.com.cn/f/new/notice/1/4593817eb65a44aca922e20f1a47a403,https://www.sxbid.com.cn/f/new/notice/1/4593817eb65a44aca922e20f1a47a403,依法招标-招标公告
招标公告,太原市小店区西桥项目前期物业服务,商务服务业,委托招标,2026-07-21,2026-07-01至2026-07-06,本项目包含但不限于：1、物业共用部位的维修、养护；2、物业共用设施设备的日常运行管理、检修、维护和保养； 3、物业共用部位、公共道路等公共区域的卫生保洁，指定地点的生活圾垃收集、清理、清运及雨、污水公共管道的定期检查； 4、公共区域内的绿化养护；5、按照政府相关部门规定和《临时管理规约》的约定引导车辆有序通行、按规定停放，对本物业管理区域内占道、占位停放行为进行提醒和劝阻；6、公共秩序维护、安全防范等事项的协助管理；7、提供装饰装修管理服务； 8、物业档案资料管理；9、前期物业协议编写；10、人岗安排、工作内容划分；11、法律法规规定的其他内容。 服务期限：三年，暂定周期为2028.10.30--2031.10.29，具体以实际交房时间为准。 服务标准：满足国家或行业或地方和甲方要求标准,山西城运龙耀房地产开发有限公司,无,无,无,山西众易诚企业管理咨询有限公司,无,无,无,山西建投城市运营集团有限公司,无,无,无,//////,///,无,山西省招标投标公共服务平台,太原市小店区西桥项目前期物业服务招标公告|https://www.sxbid.com.cn/f/new/notice/1/5c1ff96979524a8a8a56e7d29c84dc85,https://www.sxbid.com.cn/f/new/notice/1/5c1ff96979524a8a8a56e7d29c84dc85,前期物业-招标公告
招标公告,夹马口引黄灌区续建配套与现代化改造工程（2026-2027年度）勘察,房屋建筑业,委托招标,2026-08-04,2026-07-13至2026-07-18,夹马口引黄灌区续建配套与现代化改造工程（2026-2027年度）地质勘察工作等相关服务,运城市夹马口引黄服务中心有限公司,无,无,无,山西河东投资项目管理咨询服务有限公司,无,无,无,运城市水务局,无,无,无,运城市行政审批服务管理局关于夹马口引黄灌区续建配套与现代化改造工程可行性研究报告（代项目建议书）的批复,运审管审发【2023】3号,无,山西省招标投标公共服务平台,夹马口引黄灌区续建配套与现代化改造工程（2026-2027年度）勘察招标公告|https://www.sxbid.com.cn/f/new/notice/1/6d69b061961140aaa9c81bf6c99e6232,https://www.sxbid.com.cn/f/new/notice/1/6d69b061961140aaa9c81bf6c99e6232,依法招标-招标公告
招标公告,介休泰新储能有限公司221MW/400.588MWh独立混合储能电站项目总承包（EPC）,土木工程建筑业,委托招标,2026-08-14,2026-07-13至2026-07-18,本次招标为其中的001第1标段: （1）勘察设计：勘察内容为本项目的地形图测绘、地质勘察，出具合格的勘察报告；设计内容为本项目的初步设计、施工图设计、竣工图编制等阶段的设计及相关服务，初步设计报告至竣工验收全阶段的设计工作。 （2）设备材料采购：储能电站所需设备采购，包括但不限于储能系统相关设备、变配电设备等；以及主要设备的监造工作；全流程配套服务：负责设备材料的到货检验、装卸运输、二次倒运；提供备品备件、专用工具；开展技术服务、设计联络、人员培训，供应消耗品并提交全套技术资料； （3）施工范围：储能电站的临建、建筑施工及安装工程。包括但不限于建、构筑物及设备基础；站内外道路、围墙、大门工程、绿化、给排水系统及所有电气设备安装调试、水环保、安全消防设备设施等所有室外配套工程； （4）其他：①办理与项目施工有关的所有许可文件并承担相应费用（不包含招标人已经办理完成的各项批复及手续的费用），包括但不限于施工备案手续，电力质检、防雷、消防、劳动卫生等；②办理项目环境保护、安全等备案及验收工作；完成环境保护监测（包括电磁辐射监测）等工作，并承担相应费用；③办理项目并网前、后的各项试验及验收手续，取得相应报告并承担相应费用；包括但不限于：电能质量测试、保护定值计算、二次安防评估、各相关主管部门验收及并网、电池储能系统满足电网验收要求的到货至并网各阶段第三方检测等，最终满足正常运行要求；④承担本工程施工所涉及的相关民事协调工作，承担储能电站、送出线路临时占地及地面附着物补偿费用；承担施工临时用地（吊装平台、设备运输道路、堆场等）的租赁；⑤协助办理建设用地报批手续、建设用地规划许可证、土地使用权证、建设工程规划许可证、施工许可证并承担相应协调费用。⑥配合招标人办理电力业务许可证、办理《购售电合同》、《并网调度协议》、《通信协议》、《高压供电合同》等,介休泰新储能有限公司,山西省晋中市介休市绵山镇定阳西路238号2层,赵伟华,15535358921,中晋岷嵘（山西）项目管理有限公司,山西省太原市万柏林区神堂沟北路天际运动公园方隅楼一层,李涛,13623413566,介休市能源局,无,乔先生,13403446320,山西省企业投资项目备案证,2512-140781-89-01-170554,无,山西省招标投标公共服务平台,介休泰新储能有限公司221MW/400.588MWh独立混合储能电站项目总承包（EPC）招标公告|https://www.sxbid.com.cn/f/new/notice/1/9d67e6732d2f44c28bab97cd9ab7e674,https://www.sxbid.com.cn/f/new/notice/1/9d67e6732d2f44c28bab97cd9ab7e674,依法招标-招标公告
招标公告,翼城县全域旅游配套基础设施提升项目(木石四牌坊环境整治项目)木石四牌坊环境整治改造工程施工,房屋建筑业,委托招标,2026-07-27,2026-06-25至2026-07-01,建设内容：一是街区风貌提升：对木坊街、石坊街、牌坊路沿街169座民居立面更新改造；二是街区环境改造工程：对原党校前广场、木坊街中心休息区等花园广场改造；三是市政改造工程：含木坊街、石坊街、牌坊路2044米道路改造，涵盖电力、通信、排水、照明及石板路铺装；四是民俗文化展演中心工程：建筑面积1544.36平方米，地上一层，钢结构，建筑高度9.0米，耐火等级二级，设计使用年限50年，配套给排水、电气、暖通、消防等设施；五是原党校外立面改造工程：对现有的4层砖混结构建筑外立面以及门厅进行改造，改造面积2857平方米,翼城县工程建设服务中心,翼城县解放西街八一路口,翟晓奇,0357-4922171,山西林辉工程项目管理有限公司,山西省运城市卡纳溪谷西门北侧 4422-12号商铺,王牵珍,0359-2568868,翼城县住房和城乡建设管理局,无,无,0357-4922171,关于翼城县全域旅游配套基础设施提升项目可行性研究报告的批复,2101-141022-89-01-383191,无,山西省招标投标公共服务平台,翼城县全域旅游配套基础设施提升项目(木石四牌坊环境整治项目)木石四牌坊环境整治改造工程施工招标控制价公示|https://www.sxbid.com.cn/f/new/notice/1/b7d206dd56004e2da7563d630546aa61 翼城县全域旅游配套基础设施提升项目(木石四牌坊环境整治项目)木石四牌坊环境整治改造工程施工答疑公告|https://www.sxbid.com.cn/f/new/notice/1/b159c6ee8e564049abc64de064df6499 翼城县全域旅游配套基础设施提升项目(木石四牌坊环境整治项目)木石四牌坊环境整治改造工程施工招标公告|https://www.sxbid.com.cn/f/new/notice/1/86320e3624a64d6384d414b33b72267e,https://www.sxbid.com.cn/f/new/notice/1/b7d206dd56004e2da7563d630546aa61,依法招标-招标公告
招标公告,山西省管涔山国有林管理局2026年吕梁山生态保护修复和水土流失综合治理项目（作业设计编制）,林业,委托招标,2026-08-03,2026-07-13至2026-07-18,招标内容与范围：详见招标文件“第五章技术标准和相关要求”中的相关内容，本招标项目划分为1个标段，招标范围及内容具体情况为 秋千沟林场0.27万亩、大石洞林场0.27万亩、高桥洼林场0.27万亩、马家庄林场0.27万亩、怀道林场0.26万亩、轩岗林场0.26万亩、羊圈沟林场0.27万亩、杏岭子林场0.26万亩、山丛林林场0.26万亩、水门林场0.26万亩、温泉林场0.30万亩、闫家村林场0.26万亩、阳武河林场0.26万亩、接官亭林场0.26万亩、杜家村中心林场0.27万亩，合计为非沙化土地治理4万亩，包括人工造乔木林4万亩的作业设计及图纸编制,山西省管涔山国有林管理局,山西省忻州市宁武县凤凰东街99号,田先生,0350-8744548,山西启标科技有限公司,太原市南内环街163号南区23号楼314室,雷坚、张泽、宋亚文、赵文媛、傅雅静、李玉洁,0351-6838939、5625815,山西省林业和草原局,无,无,生态处:0351-4072954 纪检科:15034469663,关于同意山西省管涔山国有林管理局吕梁山生态保护修复和水土流失综合治理项目初步设计的函,晋发改审批函〔2025〕170号、晋发改审批函〔2024〕154号,无,山西省招标投标公共服务平台,山西省管涔山国有林管理局2026年吕梁山生态保护修复和水土流失综合治理项目（作业设计编制）招标公告|https://www.sxbid.com.cn/f/new/notice/1/e128a8edc142451c9d2d32be99e24d16,https://www.sxbid.com.cn/f/new/notice/1/e128a8edc142451c9d2d32be99e24d16,依法招标-招标公告
招标公告；更正公告,长治高新技术产业开发区起步区低碳可再生能源综合利用项目-晶博光电产业园低碳能源综合利用分项（空气能供热及热水部分）（第十三标段）施工,房屋建筑业,委托招标,2026-08-04,2026-07-13至2026-08-04,本项目在产业园内分别实施空气源热泵供暖和PVT光伏光热热水供应系统及配套相关服务设施，满足晶博光电产业园企业供暖、用热水需求,山西长高汇能科技有限公司,山西省长治市长治高新技术产业开发区北一环路9号,唐先生,13835556673,山西众利联建设项目管理有限公司,山西省长治市潞州区太行东街街道东环路北段29号百厚大厦7层725,吉女士,13834772277,长治高新技术产业开发区建设管理部,无,张女士,0355-5866055,长治高新区经济运行与安全监管部关于长治高新技术产业开发区起步区低碳可再生能源综合利用项目可行性研究报告的批复,长高经发［2022]46号,无,山西省招标投标公共服务平台,长治高新技术产业开发区起步区低碳可再生能源综合利用项目-晶博光电产业园低碳能源综合利用分项（空气能供热及热水部分）（第十三标段）施工招标公告|https://www.sxbid.com.cn/f/new/notice/1/d8fc342029f74d459307bff8e261a166 长治高新技术产业开发区起步区低碳可再生能源综合利用项目-晶博光电产业园低碳能源综合利用分项（空气能供热及热水部分）（第十三标段）施工招标控制价|https://www.sxbid.com.cn/f/new/notice/1/9119e67949e645389080d178a89979ab；长治高新技术产业开发区起步区低碳可再生能源综合利用项目-晶博光电产业园低碳能源综合利用分项（空气能供热及热水部分）（第十三标段）施工招标控制价|https://www.sxbid.com.cn/f/new/notice/1/9119e67949e645389080d178a89979ab 长治高新技术产业开发区起步区低碳可再生能源综合利用项目-晶博光电产业园低碳能源综合利用分项（空气能供热及热水部分）（第十三标段）施工招标公告|https://www.sxbid.com.cn/f/new/notice/1/d8fc342029f74d459307bff8e261a166,https://www.sxbid.com.cn/f/new/notice/1/d8fc342029f74d459307bff8e261a166,依法招标-招标公告
招标公告,白水河流域（泽州路以东）排口整治及溢流污染控制工程监理,房屋建筑业,委托招标,2026-07-31,2026-07-10至2026-07-15,白水河流域（泽州路以东）排口整治及溢流污染控制工程新建管网6.4千米，其中：龙湾公园水环境改善管网4.5千米，重点片区新建截污系统管网1.9千米，新建5座污水调蓄池,晋城市公用事业建设服务中心,晋城市文昌街1626号,邢先生,0356-3166697,山西卓睿工程项目管理有限公司,山西省晋城市城区泽州路1278号物资大厦三楼305室,原女士,15934170426,晋城市住房和城乡建设局,无,无,0356-2229661,晋城市发展和改革委员会关于白水河流域（泽州路以东）排口整治及溢流污染控制工程可行性研究报告的批复,晋市发改资环发[2025]368号,无,山西省招标投标公共服务平台,白水河流域（泽州路以东）排口整治及溢流污染控制工程监理招标公告|https://www.sxbid.com.cn/f/new/notice/1/adc83a92399c4986a15c768d7918cfcc,https://www.sxbid.com.cn/f/new/notice/1/adc83a92399c4986a15c768d7918cfcc,依法招标-招标公告
招标公告,白水河流域（泽州路以西）排口整治及溢流污染控制工程监理,房屋建筑业,委托招标,2026-07-31,2026-07-10至2026-07-15,新建管网约8.9千米，其中：牛匠河沿线小区（汇迁、时家岭、绿电小区、居然东院）雨污分流管网7.6千米，重点片区新建截污系统管网1.3千米，新建3座污水调蓄池,晋城市公用事业建设服务中心,晋城市文昌街1626号,邢先生,0356-3166697,山西涵海建设项目管理有限公司,晋城市白水西街方程国际25楼2505室,范卷、张昕、郝俊,18035662504,晋城市住房和城乡建设局,无,无,0356-2229311,晋城市发展和改革委员会关于白水河流域（泽州路以西）排口整治及溢流污染控制工程可行性研究报告的批复,晋市发改资环发〔2025〕370号,无,山西省招标投标公共服务平台,白水河流域（泽州路以西）排口整治及溢流污染控制工程监理招标公告|https://www.sxbid.com.cn/f/new/notice/1/4bb3326304fd44b39148cb638beb4735,https://www.sxbid.com.cn/f/new/notice/1/4bb3326304fd44b39148cb638beb4735,依法招标-招标公告
