项目性质,项目名称,所属行业,组织形式,招标方式,招标编号/项目编号,招标条件/说明,中标人名称,中标价格,其他公示内容,监督部门,招标人/采购人,招标人地址,招标人联系人,招标人联系方式,招标代理机构,招标代理机构地址,招标代理机构联系人,招标代理机构联系方式,发布日期,发布网站,详情页面
依法,山西蓝焰煤层气集团有限责任公司机电设备分公司生产设备拆装运输服务中标结果公示,能源电力,常规招标,公开招标,HXZB-FW20260516,山西蓝焰煤层气集团有限责任公司机电设备分公司生产设备拆装运输服务（招标编号：HXZB-FW20260516），确定001第一标段的中标人如下:,山西上下工贸有限公司,3131400元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、山西蓝焰控股股份有限公司,山西蓝焰控股股份有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,张朝、闫潇腾,0351-2453225、2221733、2221755,2026-06-24 11:13:34,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2069619452262047744
依法,太原天然气有限公司太原市市政道路老旧燃气管网及燃气管道系统安全治理工程(一期)及燃气管网生命线安全工程（一期）项目智能化设备采购(003标段)二次重新招标中标结果公示,能源电力,二次重新招标,公开招标,HXZB-HW20260309,太原天然气有限公司太原市市政道路老旧燃气管网及燃气管道系统安全治理工程(一期)及燃气管网生命线安全工程（一期）项目智能化设备采购（招标编号：HXZB-HW20260309），确定003第三标段的中标人如下:,浙江青墨湾能源科技有限公司,6912000.00元,发布媒体：山西省招标投标公共服务平台、华新阳光采购平台,太原市城乡管理局、华新燃气集团有限公司、太原天然气有限公司,太原天然气有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,李晓辉、张朝、闫潇腾,0351-2453225、2221733、2221755,2026-06-23 11:04:58,"华新阳光采购平台,山西省招标投标公共服务平台,中国招标投标公共服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2069251189296422912
依法,太原天然气有限公司太原市市政道路老旧燃气管网及燃气管道系统安全治理工程(一期)及燃气管网生命线安全工程（一期）项目智能化设备采购(004标段)二次重新招标中标结果公示,能源电力,二次重新招标,公开招标,HXZB-HW20260309,太原天然气有限公司太原市市政道路老旧燃气管网及燃气管道系统安全治理工程(一期)及燃气管网生命线安全工程（一期）项目智能化设备采购（招标编号：HXZB-HW20260309），确定004第四标段的中标人如下:,上海语鸽智能科技有限公司,1666820元,发布媒体：山西省招标投标公共服务平台、华新阳光采购平台,太原市城乡管理局、华新燃气集团有限公司、太原天然气有限公司,太原天然气有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,李晓辉、张朝、闫潇腾,0351-2453225、2221733、2221755,2026-06-23 11:04:52,"华新阳光采购平台,山西省招标投标公共服务平台,中国招标投标公共服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2069251329084186624
依法,山西华新城市燃气集团有限公司维抢修大队维抢修设备更新项目(001标段)二次重新招标中标结果公示,能源电力,二次重新招标,公开招标,HXZB-HW20260202,山西华新城市燃气集团有限公司维抢修大队维抢修设备更新项目（招标编号：HXZB-HW20260202），确定001第一标段的中标人如下:,辽宁联海石油化工集团有限责任公司,2380000.00元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、山西华新城市燃气集团有限公司,山西华新城市燃气集团有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,张绒、李志起,0351-2453225、2221733、2221755,2026-06-23 11:04:49,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2069249327767838720
依法,山西沁盛煤层气作业有限责任公司2026年设备、材料安全性能评估及检测服务中标结果公示,其他,常规招标,公开招标,HXZB-FW20260511,山西沁盛煤层气作业有限责任公司2026年设备、材料安全性能评估及检测服务（招标编号：HXZB-FW20260511），确定001第一标段的中标人如下:,四川英识检测服务有限公司,1078789元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、山西蓝焰控股股份有限公司,山西蓝焰控股股份有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,张朝、闫潇腾,0351-2453225、2221733、2221755,2026-06-23 11:04:43,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2069248518648848384
依法,山西蓝焰煤层气集团有限责任公司2026年修井、下泵、钻井材料购置项目（沁水及外部区块）(001标段)中标结果公示,能源电力,常规招标,公开招标,HXZB-HW20260508,山西蓝焰煤层气集团有限责任公司2026年修井、下泵、钻井材料购置项目（沁水及外部区块）（招标编号：HXZB-HW20260508），确定001第一标段的中标人如下:,河北亿鑫石油管材有限公司,6598280元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、山西蓝焰控股股份有限公司,山西蓝焰控股股份有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,张朝、闫潇腾,0351-2453225、2221733、2221755,2026-06-16 11:58:19,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2066725790846902272
依法,山西蓝焰煤层气集团有限责任公司2026年修井、下泵、钻井材料购置项目（沁水及外部区块）(002标段)中标结果公示,能源电力,常规招标,公开招标,HXZB-HW20260508,山西蓝焰煤层气集团有限责任公司2026年修井、下泵、钻井材料购置项目（沁水及外部区块）（招标编号：HXZB-HW20260508），确定002第二标段的中标人如下:,东营市科创石油装备有限公司,4019480元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、山西蓝焰控股股份有限公司,山西蓝焰控股股份有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,张朝、闫潇腾,0351-2453225、2221733、2221755,2026-06-16 11:58:14,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2066726072733491200
依法,山西蓝焰煤层气集团有限责任公司2026年修井、下泵、钻井材料购置项目（沁水及外部区块）(003标段)中标结果公示,能源电力,常规招标,公开招标,HXZB-HW20260508,山西蓝焰煤层气集团有限责任公司2026年修井、下泵、钻井材料购置项目（沁水及外部区块）（招标编号：HXZB-HW20260508），确定003第三标段的中标人如下:,天津港孚石油机械制造有限公司,2343920.00元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、山西蓝焰控股股份有限公司,山西蓝焰控股股份有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,张朝、闫潇腾,0351-2453225、2221733、2221755,2026-06-16 11:58:11,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2066726220553347072
依法,山西蓝焰煤层气集团有限责任公司2026年修井、下泵、钻井材料购置项目（沁水及外部区块）(004标段)中标结果公示,能源电力,常规招标,公开招标,HXZB-HW20260508,山西蓝焰煤层气集团有限责任公司2026年修井、下泵、钻井材料购置项目（沁水及外部区块）（招标编号：HXZB-HW20260508），确定004第四标段的中标人如下:,濮阳市宇飞石油机械设备有限公司,444000元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、山西蓝焰控股股份有限公司,山西蓝焰控股股份有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,张朝、闫潇腾,0351-2453225、2221733、2221755,2026-06-16 11:58:08,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2066726324689526784
依法,山西蓝焰煤层气集团有限责任公司2026年修井、下泵、钻井材料购置项目（沁水及外部区块）(005标段)中标结果公示,能源电力,常规招标,公开招标,HXZB-HW20260508,山西蓝焰煤层气集团有限责任公司2026年修井、下泵、钻井材料购置项目（沁水及外部区块）（招标编号：HXZB-HW20260508），确定005第五标段的中标人如下:,天津锦源机械制造有限公司,1178400元,发布媒体：山西招标采购服务平台、华新阳光采购平台,华新燃气集团有限公司、山西蓝焰控股股份有限公司,山西蓝焰控股股份有限公司,,,,山西华新阳光科技咨询有限公司,太原市长治路345号东楼23层,张朝、闫潇腾,0351-2453225、2221733、2221755,2026-06-16 11:58:03,"华新阳光采购平台,中国招标投标公共服务平台,山西省招标投标协会/山西招标采购服务平台",https://www.ygcgpt.com/#/biddingdetails?annId=2066726454083805184
