公共类型,项目名称,所属行业,组织形式,开标时间,标书发售时间,公告内容,招标人地址,招标人联系人,招标人联系方式,招标代理机构,招标代理机构地址,招标代理机构联系人,招标代理机构联系方式,监督部门地址,监督部门联系人,监督部门联系方式,依据文件,依据文号,发布日期,发布网站,详情页链接,详情ID,全文文本,交易场所,列表发布日期
,中标价（元）,,,,,"古交-娄烦-方山高速公路电力线路迁改工程勘察设计中标结果公示  (招标编号：ZEC-Z26F-044)  古交-娄烦-方山高速公路电力线路迁改工程勘察设计（招标项目编号：M1401000155101532001），经评标委员会评审，确定[001标段]的中标人如下：  一、中标人信息  标段  中标人  中标价（元）  001
标段  聚合电力工程设计
(
北京
)
股份有限公司  3366886.18  二、其他公示内容  无  三、监督部门  行业监督部门：太原市交通运输局（联系方式：0351-4044883）  上级监督部门：山西路桥建设集团招标采购中心（联系方式：0351-5606026）  本级监督部门：山西路桥建设集团古娄方高速公路有限公司党群工作部（综合办公室）（联系方式：15234010105）  四、联系方式  招标人：山西路桥建设集团古娄方高速公路有限公司  地址：娄烦县杜交曲镇策马村  联系人：李先生  电话：13233689287  招标代理：北京中交建设工程咨询有限公司  地址：北京市朝阳区北苑路170号凯旋城3号楼5层  联系人：陈先生、高先生  电话：17636662545  邮箱：bjztc5@163.com  招标人或其招标代理机构主要负责人（项目负责人）：  （签名）  招标人或其招标代理机构：  （盖章）",娄烦县杜交曲镇策马村,李先生,13233689287,北京中交建设工程咨询有限公司,北京市朝阳区北苑路170号凯旋城3号楼5层,陈先生、高先生,17636662545,,,,,,2026-06-23 17:50,山西省招标投标公共服务平台,https://prec.sxzwfw.gov.cn/jyxxgcgs/1067302.jhtml,1067302,"古交-娄烦-方山高速公路电力线路迁改工程勘察设计中标结果公示  (招标编号：ZEC-Z26F-044)  古交-娄烦-方山高速公路电力线路迁改工程勘察设计（招标项目编号：M1401000155101532001），经评标委员会评审，确定[001标段]的中标人如下：  一、中标人信息  标段  中标人  中标价（元）  001
标段  聚合电力工程设计
(
北京
)
股份有限公司  3366886.18  二、其他公示内容  无  三、监督部门  行业监督部门：太原市交通运输局（联系方式：0351-4044883）  上级监督部门：山西路桥建设集团招标采购中心（联系方式：0351-5606026）  本级监督部门：山西路桥建设集团古娄方高速公路有限公司党群工作部（综合办公室）（联系方式：15234010105）  四、联系方式  招标人：山西路桥建设集团古娄方高速公路有限公司  地址：娄烦县杜交曲镇策马村  联系人：李先生  电话：13233689287  招标代理：北京中交建设工程咨询有限公司  地址：北京市朝阳区北苑路170号凯旋城3号楼5层  联系人：陈先生、高先生  电话：17636662545  邮箱：bjztc5@163.com  招标人或其招标代理机构主要负责人（项目负责人）：  （签名）  招标人或其招标代理机构：  （盖章）",,2026-06-23
,临猗县老旧小区连片改造项目二期建安工程监理项目中标结果公示,,,,,"临猗县老旧小区连片改造项目二期建安工程监理项目
中标结果公示
（招标项目编号：
2026GC010492
）  本临猗县老旧小区连片改造项目二期建安工程监理项目（招标项目编号：
2026GC010492
）
,
确定本项目的中标人如下： 
一、中标人信息
001
临猗县老旧小区连片改造项目二期建安工程监理项目
: 
中标人：山西衡泰鑫工程项目管理有限公司
中标价格：
457000
元  二、其他公示内容：
本次公告同时在山西省招标投标协会（山西招标采购服务平台）、全国公共资源交易平台
(
山西省·运城市
)
上发布。
三、监督部门
本招标项目的监督部门为临猗县住房和城乡建设管理局，
监督电话：
0359-4023413/18635948373
。
四、联系方式
招标人：临猗县住房保障和房地产服务中心
地址：临猗县双塔南路
1190 号
邮编：
044100
联系人：毛先生  电话：13935914004
电子邮件：
/
招标代理机构：山西金星项目咨询有限公司
地址：
山西省运城市运城经济技术开发区空港南区康杰南路
23号
邮编：
044000
联系人：董女士
联系电话：18534336394
电子邮箱：sxjxxmzx01@163.com
招标人或其招标代理机构主要负责人（项目负责人）：  （签名）  招标人或其招标代理机构：  （盖章）",,毛先生,13935914004,山西金星项目咨询有限公司,,,18534336394,,,,,,2026-06-23 17:00,运城市公共资源交易平台,https://prec.sxzwfw.gov.cn/jyxxgcgs/1067247.jhtml,1067247,"临猗县老旧小区连片改造项目二期建安工程监理项目
中标结果公示
（招标项目编号：
2026GC010492
）  本临猗县老旧小区连片改造项目二期建安工程监理项目（招标项目编号：
2026GC010492
）
,
确定本项目的中标人如下： 
一、中标人信息
001
临猗县老旧小区连片改造项目二期建安工程监理项目
: 
中标人：山西衡泰鑫工程项目管理有限公司
中标价格：
457000
元  二、其他公示内容：
本次公告同时在山西省招标投标协会（山西招标采购服务平台）、全国公共资源交易平台
(
山西省·运城市
)
上发布。
三、监督部门
本招标项目的监督部门为临猗县住房和城乡建设管理局，
监督电话：
0359-4023413/18635948373
。
四、联系方式
招标人：临猗县住房保障和房地产服务中心
地址：临猗县双塔南路
1190 号
邮编：
044100
联系人：毛先生  电话：13935914004
电子邮件：
/
招标代理机构：山西金星项目咨询有限公司
地址：
山西省运城市运城经济技术开发区空港南区康杰南路
23号
邮编：
044000
联系人：董女士
联系电话：18534336394
电子邮箱：sxjxxmzx01@163.com
招标人或其招标代理机构主要负责人（项目负责人）：  （签名）  招标人或其招标代理机构：  （盖章）",,2026-06-23
,通宝右玉100MW风电项目风机、塔筒设备采购中标结果公示,,,,,"通宝右玉100MW风电项目风机、塔筒设备采购中标结果公示  （招标编号：JNB158-ZB-260515730）  本通宝右玉100MW风电项目风机、塔筒设备采购（招标项目编号：JNB158-ZB-260515730），确定通宝右玉100MW风电项目风机、塔筒设备采购的中标人如下：  一、中标人信息  通宝右玉100MW风电项目风机、塔筒设备采购：  中标人名称  上海电气风电集团股份有限公司  中标价格  20490.47万元  二、其他公告内容  本次中标结果公告同时在《中国招标投标公共服务平台》、《山西省招标投标公共服务平台》、《晋能控股招标采购平台》上发布。  三、监督部门  本招标项目的监督部门为：朔州市能源局  处（科）室名称：投资处  联系电话：0349-8852661  电子邮件：szxzspbs@163.com  四、联系方式  招标人：通宝（右玉）清洁能源有限公司  地址：山西省朔州市右玉县  联系人：郭威  电话：15034142290  招标代理机构：晋能控股集团山西工程咨询有限公司  地址：山西省太原市迎泽区柳巷街道开化寺街86号综合办公楼  联系人：
张先生、
董女士  电话：
13935146997、18635686206  晋能控股招标采购平台客服电话：400-0351-155  工作时间：8:30-12:00,14:30-
18:00
（工作日）  招标代理机构项目负责人：张昕宗（签名）  招标人或其招标代理机构：晋能控股集团山西工程咨询有限公司（签章）",山西省朔州市右玉县,郭威,15034142290,晋能控股集团山西工程咨询有限公司,山西省太原市迎泽区柳巷街道开化寺街86号综合办公楼,,,,,,,,2026-06-23 16:50,山西省招标投标公共服务平台,https://prec.sxzwfw.gov.cn/jyxxgcgs/1067240.jhtml,1067240,"通宝右玉100MW风电项目风机、塔筒设备采购中标结果公示  （招标编号：JNB158-ZB-260515730）  本通宝右玉100MW风电项目风机、塔筒设备采购（招标项目编号：JNB158-ZB-260515730），确定通宝右玉100MW风电项目风机、塔筒设备采购的中标人如下：  一、中标人信息  通宝右玉100MW风电项目风机、塔筒设备采购：  中标人名称  上海电气风电集团股份有限公司  中标价格  20490.47万元  二、其他公告内容  本次中标结果公告同时在《中国招标投标公共服务平台》、《山西省招标投标公共服务平台》、《晋能控股招标采购平台》上发布。  三、监督部门  本招标项目的监督部门为：朔州市能源局  处（科）室名称：投资处  联系电话：0349-8852661  电子邮件：szxzspbs@163.com  四、联系方式  招标人：通宝（右玉）清洁能源有限公司  地址：山西省朔州市右玉县  联系人：郭威  电话：15034142290  招标代理机构：晋能控股集团山西工程咨询有限公司  地址：山西省太原市迎泽区柳巷街道开化寺街86号综合办公楼  联系人：
张先生、
董女士  电话：
13935146997、18635686206  晋能控股招标采购平台客服电话：400-0351-155  工作时间：8:30-12:00,14:30-
18:00
（工作日）  招标代理机构项目负责人：张昕宗（签名）  招标人或其招标代理机构：晋能控股集团山西工程咨询有限公司（签章）",,2026-06-23
,五台山风景名胜区石咀热源厂及管网配套工程项目箱式换热站采购二次招标中标结果公示,,,,,"五台山风景名胜区石咀热源厂及管网配套工程项目箱式换热站采购二次招标中标结果公示  (招标编号：ZXD-ZBHW-26096)  五台山风景名胜区石咀热源厂及管网配套工程项目箱式换热站采购（招标项目编号：I1401005264000436003），经评标委员会评审，确定[001第1标段]的中标人如下：  一、中标人信息  001第1标段:  中 标 人：乐沃（天津）新能源技术有限公司  中 标 价：10298719.00 元  二、其他公示内容  无  三、监督部门：  本招标项目的监督部门为：五台山风景名胜区规划国土建设局  四、联系方式：  招标人：山西省安装集团股份有限公司  地  址：山西转型综合改革示范区唐槐产业园新化路
8
号  联系人：李青丽  联系电话：
19135615133  招标代理机构：山西仲信达工程造价咨询有限公司  地  址：山西转型综合改革示范区唐槐产业园孵化基地
4
号楼
E
区
10
层
1012-1014
室  联 系 人：郑洁婷  联系电话：
13293919789  电子邮件：
1405964677@qq.com  平台网站：https://zhao.zhufuc.com  招标人或其招标代理机构主要负责人（项目负责人）：  （签名）  招标人或其招标代理机构：  （盖章）",,,19135615133,山西仲信达工程造价咨询有限公司,,,13293919789,,,,,,2026-06-23 16:20,山西省招标投标公共服务平台,https://prec.sxzwfw.gov.cn/jyxxgcgs/1067199.jhtml,1067199,"五台山风景名胜区石咀热源厂及管网配套工程项目箱式换热站采购二次招标中标结果公示  (招标编号：ZXD-ZBHW-26096)  五台山风景名胜区石咀热源厂及管网配套工程项目箱式换热站采购（招标项目编号：I1401005264000436003），经评标委员会评审，确定[001第1标段]的中标人如下：  一、中标人信息  001第1标段:  中 标 人：乐沃（天津）新能源技术有限公司  中 标 价：10298719.00 元  二、其他公示内容  无  三、监督部门：  本招标项目的监督部门为：五台山风景名胜区规划国土建设局  四、联系方式：  招标人：山西省安装集团股份有限公司  地  址：山西转型综合改革示范区唐槐产业园新化路
8
号  联系人：李青丽  联系电话：
19135615133  招标代理机构：山西仲信达工程造价咨询有限公司  地  址：山西转型综合改革示范区唐槐产业园孵化基地
4
号楼
E
区
10
层
1012-1014
室  联 系 人：郑洁婷  联系电话：
13293919789  电子邮件：
1405964677@qq.com  平台网站：https://zhao.zhufuc.com  招标人或其招标代理机构主要负责人（项目负责人）：  （签名）  招标人或其招标代理机构：  （盖章）",,2026-06-23
,临猗县老旧小区连片改造项目二期二标段建安工程施工项目,,,,,"临猗县老旧小区连片改造项目二期二标段建安工程施工项目
中标
结果
公示
（招标编号：
2026GC010
509
）
本临猗县老旧小区连片改造项目二期二标段建安工程施工项目（招标编号：
2026GC010509，确定本项目的中标人如下：
一、中标人信息
001临猗县老旧小区连片改造项目二期二标段建安工程施工项目
中  标  人：山西笃瑞达建工集团有限公司
中标价格：
15708533.80元
二、其他公示内容
本次中标结果公示同时在山西省招标投标公共服务平台、全国公共资源交易平台
(山西省·运城市)上发布。
三、监督部门
本招标项目的监督部门为临猗县住房和城乡建设管理局
电话：
18635948373
四、联系方式
招标人：临猗县住房保障和房地产服务中心
地址：临猗县双塔南路
1190号
联系人：毛先生
联系电话：
13935914004
电子邮件：
/
招标代理机构：山西尚达工程项目管理有限公司
地址：运城市盐湖区解放北路黄河商务中心
404室
联系人：乔先生
联系电话：
17735974747
电子邮件：
sxsdgc2019@163.com
招标人或其招标代理机构主要负责人（项目负责人）：  （签名）  招标人或其招标代理机构：  （盖章）",,,13935914004,山西尚达工程项目管理有限公司,,,17735974747,,,,,,2026-06-23 16:00,运城市公共资源交易平台,https://prec.sxzwfw.gov.cn/jyxxgcgs/1067179.jhtml,1067179,"临猗县老旧小区连片改造项目二期二标段建安工程施工项目
中标
结果
公示
（招标编号：
2026GC010
509
）
本临猗县老旧小区连片改造项目二期二标段建安工程施工项目（招标编号：
2026GC010509，确定本项目的中标人如下：
一、中标人信息
001临猗县老旧小区连片改造项目二期二标段建安工程施工项目
中  标  人：山西笃瑞达建工集团有限公司
中标价格：
15708533.80元
二、其他公示内容
本次中标结果公示同时在山西省招标投标公共服务平台、全国公共资源交易平台
(山西省·运城市)上发布。
三、监督部门
本招标项目的监督部门为临猗县住房和城乡建设管理局
电话：
18635948373
四、联系方式
招标人：临猗县住房保障和房地产服务中心
地址：临猗县双塔南路
1190号
联系人：毛先生
联系电话：
13935914004
电子邮件：
/
招标代理机构：山西尚达工程项目管理有限公司
地址：运城市盐湖区解放北路黄河商务中心
404室
联系人：乔先生
联系电话：
17735974747
电子邮件：
sxsdgc2019@163.com
招标人或其招标代理机构主要负责人（项目负责人）：  （签名）  招标人或其招标代理机构：  （盖章）",,2026-06-23
,杏花岭区2024年老旧小区改造项目（二期）监理(002标段二)中标结果公示,,,,,"杏花岭区2024年老旧小区改造项目（二期）监理(002标段二)中标结果公示  (招标编号：ZKFW2026-07C-055)  杏花岭区2024年老旧小区改造项目（二期）监理（招标项目编号：M1401000155210442002），经评标委员会评审，确定[002标段二]的中标人如下：  一、中标人信息  002标段二:  中 标 人：河南省光大建设管理有限公司  中 标 价：997794.00 元  二、其他公示内容  无  三、监督部门：  本招标项目的监督部门为：
太原市杏花岭区住房和城乡建设局  四、联系方式：  招标人：太原市杏花岭区城乡管理局  地址：太原市杏花岭区胜利街99号  联系人：张勇强  电话：15364939783  招标代理机构：中招康泰项目管理有限公司  地址：山西省太原市迎泽大街388号山西国际大厦26层  联系人：郜正浩、邸明、郝振中  电话：18603450878  电子邮件：38478732@qq.com  招标人或其招标代理机构主要负责人（项目负责人）：  （签名）  招标人或其招标代理机构：  （盖章）",太原市杏花岭区胜利街99号,张勇强,15364939783,中招康泰项目管理有限公司,山西省太原市迎泽大街388号山西国际大厦26层,郜正浩、邸明、郝振中,18603450878,,,,,,2026-06-23 15:50,山西省招标投标公共服务平台,https://prec.sxzwfw.gov.cn/jyxxgcgs/1067171.jhtml,1067171,"杏花岭区2024年老旧小区改造项目（二期）监理(002标段二)中标结果公示  (招标编号：ZKFW2026-07C-055)  杏花岭区2024年老旧小区改造项目（二期）监理（招标项目编号：M1401000155210442002），经评标委员会评审，确定[002标段二]的中标人如下：  一、中标人信息  002标段二:  中 标 人：河南省光大建设管理有限公司  中 标 价：997794.00 元  二、其他公示内容  无  三、监督部门：  本招标项目的监督部门为：
太原市杏花岭区住房和城乡建设局  四、联系方式：  招标人：太原市杏花岭区城乡管理局  地址：太原市杏花岭区胜利街99号  联系人：张勇强  电话：15364939783  招标代理机构：中招康泰项目管理有限公司  地址：山西省太原市迎泽大街388号山西国际大厦26层  联系人：郜正浩、邸明、郝振中  电话：18603450878  电子邮件：38478732@qq.com  招标人或其招标代理机构主要负责人（项目负责人）：  （签名）  招标人或其招标代理机构：  （盖章）",,2026-06-23
,杏花岭区2024年老旧小区改造项目（二期）监理(001标段一)中标结果公示,,,,,"杏花岭区2024年老旧小区改造项目（二期）监理(001标段一)中标结果公示  (招标编号：ZKFW2026-07C-055)  杏花岭区2024年老旧小区改造项目（二期）监理（招标项目编号：M1401000155210442002），经评标委员会评审，确定[001标段一]的中标人如下：  一、中标人信息  001标段一:  中 标 人：山西凯通技术有限公司  中 标 价：1089600.00 元  二、其他公示内容  无  三、监督部门：  本招标项目的监督部门为：
太原市杏花岭区住房和城乡建设局  四、联系方式：  招标人：太原市杏花岭区城乡管理局  地址：太原市杏花岭区胜利街99号  联系人：张勇强  电话：15364939783  招标代理机构：中招康泰项目管理有限公司  地址：山西省太原市迎泽大街388号山西国际大厦26层  联系人：郜正浩、邸明、郝振中  电话：18603450878  电子邮件：38478732@qq.com  招标人或其招标代理机构主要负责人（项目负责人）：  （签名）  招标人或其招标代理机构：  （盖章）",太原市杏花岭区胜利街99号,张勇强,15364939783,中招康泰项目管理有限公司,山西省太原市迎泽大街388号山西国际大厦26层,郜正浩、邸明、郝振中,18603450878,,,,,,2026-06-23 15:50,山西省招标投标公共服务平台,https://prec.sxzwfw.gov.cn/jyxxgcgs/1067170.jhtml,1067170,"杏花岭区2024年老旧小区改造项目（二期）监理(001标段一)中标结果公示  (招标编号：ZKFW2026-07C-055)  杏花岭区2024年老旧小区改造项目（二期）监理（招标项目编号：M1401000155210442002），经评标委员会评审，确定[001标段一]的中标人如下：  一、中标人信息  001标段一:  中 标 人：山西凯通技术有限公司  中 标 价：1089600.00 元  二、其他公示内容  无  三、监督部门：  本招标项目的监督部门为：
太原市杏花岭区住房和城乡建设局  四、联系方式：  招标人：太原市杏花岭区城乡管理局  地址：太原市杏花岭区胜利街99号  联系人：张勇强  电话：15364939783  招标代理机构：中招康泰项目管理有限公司  地址：山西省太原市迎泽大街388号山西国际大厦26层  联系人：郜正浩、邸明、郝振中  电话：18603450878  电子邮件：38478732@qq.com  招标人或其招标代理机构主要负责人（项目负责人）：  （签名）  招标人或其招标代理机构：  （盖章）",,2026-06-23
,太原天然气有限公司太原市市政道路老旧燃气管网及燃气管道系统安全治理工程,,,,,"太原天然气有限公司太原市市政道路老旧燃气管网及燃气管道系统安全治理工程
(
一期
)
及燃气管网生命线安全工程（一期）项目智能化设备采购（招标编号：
HXZB-HW20260309
），确定
0
04
第四
标段
的
中标人如下
:  一、
中标人信息
0
04
第
四
标段：
中标人：上海语鸽智能科技有限公司  中标价格：
1666820
元  二、
其他公示内容
发布媒体：山西省招标投标公共服务平台、华新阳光采购平台  三
、监督部门
本项目监督部门为：太原市城乡管理局、华新燃气集团有限公司、太原天然气有限公司。  四、
联系方式
招标人：太原天然气有限公司  招标代理机构：山西华新阳光科技咨询有限公司
详细地址：太原市长治路
345
号东楼
23
层
联系人：李晓辉、张朝、闫潇腾
电话：
0351-2453225
、
2221733
、
2221755",,,,山西华新阳光科技咨询有限公司,,李晓辉、张朝、闫潇腾,,,,,,,2026-06-23 11:20,山西省招标投标公共服务平台,https://prec.sxzwfw.gov.cn/jyxxgcgs/1067044.jhtml,1067044,"太原天然气有限公司太原市市政道路老旧燃气管网及燃气管道系统安全治理工程
(
一期
)
及燃气管网生命线安全工程（一期）项目智能化设备采购（招标编号：
HXZB-HW20260309
），确定
0
04
第四
标段
的
中标人如下
:  一、
中标人信息
0
04
第
四
标段：
中标人：上海语鸽智能科技有限公司  中标价格：
1666820
元  二、
其他公示内容
发布媒体：山西省招标投标公共服务平台、华新阳光采购平台  三
、监督部门
本项目监督部门为：太原市城乡管理局、华新燃气集团有限公司、太原天然气有限公司。  四、
联系方式
招标人：太原天然气有限公司  招标代理机构：山西华新阳光科技咨询有限公司
详细地址：太原市长治路
345
号东楼
23
层
联系人：李晓辉、张朝、闫潇腾
电话：
0351-2453225
、
2221733
、
2221755",,2026-06-23
,太原天然气有限公司太原市市政道路老旧燃气管网及燃气管道系统安全治理工程,,,,,"太原天然气有限公司太原市市政道路老旧燃气管网及燃气管道系统安全治理工程
(
一期
)
及燃气管网生命线安全工程（一期）项目智能化设备采购（招标编号：
HXZB-HW20260309
），确定
0
03
第三
标段
的
中标人如下
:  一、
中标人信息
0
03
第
三
标段：
中标人：浙江青墨湾能源科技有限公司  中标价格：
6912000
元  二、
其他公示内容
发布媒体：山西省招标投标公共服务平台、华新阳光采购平台  三
、监督部门
本项目监督部门为：太原市城乡管理局、华新燃气集团有限公司、太原天然气有限公司。  四、
联系方式
招标人：太原天然气有限公司  招标代理机构：山西华新阳光科技咨询有限公司
详细地址：太原市长治路
345
号东楼
23
层
联系人：李晓辉、张朝、闫潇腾
电话：
0351-2453225
、
2221733
、
2221755",,,,山西华新阳光科技咨询有限公司,,李晓辉、张朝、闫潇腾,,,,,,,2026-06-23 11:20,山西省招标投标公共服务平台,https://prec.sxzwfw.gov.cn/jyxxgcgs/1067041.jhtml,1067041,"太原天然气有限公司太原市市政道路老旧燃气管网及燃气管道系统安全治理工程
(
一期
)
及燃气管网生命线安全工程（一期）项目智能化设备采购（招标编号：
HXZB-HW20260309
），确定
0
03
第三
标段
的
中标人如下
:  一、
中标人信息
0
03
第
三
标段：
中标人：浙江青墨湾能源科技有限公司  中标价格：
6912000
元  二、
其他公示内容
发布媒体：山西省招标投标公共服务平台、华新阳光采购平台  三
、监督部门
本项目监督部门为：太原市城乡管理局、华新燃气集团有限公司、太原天然气有限公司。  四、
联系方式
招标人：太原天然气有限公司  招标代理机构：山西华新阳光科技咨询有限公司
详细地址：太原市长治路
345
号东楼
23
层
联系人：李晓辉、张朝、闫潇腾
电话：
0351-2453225
、
2221733
、
2221755",,2026-06-23
,项目编号：SJZBYF02280026G012V32,,,,,"项目编号：
SJZBYF02280026G012V32  本
招标项目
山西晋煤太钢能源有限责任公司三交一号煤矿主工业场地综合管网三期、弱电线网及办公区域东西向主排水沟工程项目
，
确定中标人如下：  一、中标人信息：  序号  中标人名称  中标金额（元）  1  山西西山金城建筑有限公司  17518517.24  二、其他公示内容：  无  三、联系方式  招标人
:山西晋煤太钢能源有限责任公司  地  址:山西省吕梁市临县车赶乡  联系人
:郝先生  电  话:0358-5540037  代理机构：山西焦煤集团招标有限公司  地  址：山西省太原市小店区龙城大街 102 号文旅大厦 A 座4层  联
 系 人：朱虹宇  电  话：0351-7955111  电子邮件：
sjzbzhz@126.com  【山西焦煤集团招标有限公司（签章）】;  【朱虹宇（签名）】;",,,,山西焦煤集团招标有限公司,山西省太原市小店区龙城大街 102 号文旅大厦 A 座4层,朱虹宇,0351-7955111,,,,,,2026-06-23 11:20,山西省招标投标公共服务平台,https://prec.sxzwfw.gov.cn/jyxxgcgs/1067040.jhtml,1067040,"项目编号：
SJZBYF02280026G012V32  本
招标项目
山西晋煤太钢能源有限责任公司三交一号煤矿主工业场地综合管网三期、弱电线网及办公区域东西向主排水沟工程项目
，
确定中标人如下：  一、中标人信息：  序号  中标人名称  中标金额（元）  1  山西西山金城建筑有限公司  17518517.24  二、其他公示内容：  无  三、联系方式  招标人
:山西晋煤太钢能源有限责任公司  地  址:山西省吕梁市临县车赶乡  联系人
:郝先生  电  话:0358-5540037  代理机构：山西焦煤集团招标有限公司  地  址：山西省太原市小店区龙城大街 102 号文旅大厦 A 座4层  联
 系 人：朱虹宇  电  话：0351-7955111  电子邮件：
sjzbzhz@126.com  【山西焦煤集团招标有限公司（签章）】;  【朱虹宇（签名）】;",,2026-06-23
