公共类型,项目名称,所属行业,组织形式,开标时间,标书发售时间,公告内容,招标人地址,招标人联系人,招标人联系方式,招标代理机构,招标代理机构地址,招标代理机构联系人,招标代理机构联系方式,监督部门地址,监督部门联系人,监督部门联系方式,依据文件,依据文号,发布日期,发布网站,详情页链接,详情ID,全文文本,交易场所,列表发布日期
,,房屋市政,公开招标,,,施工,,,,,,,,,,,,,2026-06-23 17:50,,https://prec.sxzwfw.gov.cn/jyxxzbjh/1067301.jhtml,1067301,,,2026-06-23
,,能源,公开招标,,,勘察;设计;施工;监理;主要设备;重要材料,,,,,,,,,,,,,2026-06-23 17:40,,https://prec.sxzwfw.gov.cn/jyxxzbjh/1067289.jhtml,1067289,,,2026-06-23
,,农业,公开招标,,,施工;主要设备,,,,,,,,,,,,,2026-06-23 17:20,,https://prec.sxzwfw.gov.cn/jyxxzbjh/1067273.jhtml,1067273,,,2026-06-23
,,交通,公开招标,,,施工,,,,,,,,,,,,,2026-06-23 17:05,,https://prec.sxzwfw.gov.cn/jyxxzbjh/1067258.jhtml,1067258,,,2026-06-23
,,水利,公开招标,,,勘察;设计;施工;监理;主要设备;重要材料,,,,,,,,,,,,,2026-06-23 16:35,,https://prec.sxzwfw.gov.cn/jyxxzbjh/1067213.jhtml,1067213,,,2026-06-23
,,水利,公开招标,,,勘察;设计,,,,,,,,,,,,,2026-06-23 16:25,,https://prec.sxzwfw.gov.cn/jyxxzbjh/1067204.jhtml,1067204,,,2026-06-23
,,能源,公开招标,,,勘察;设计;施工;监理;主要设备;重要材料;,,,,,,,,,,,,,2026-06-23 15:55,,https://prec.sxzwfw.gov.cn/jyxxzbjh/1067178.jhtml,1067178,,,2026-06-23
,,房屋市政,公开招标,,,施工;重要材料,,,,,,,,,,,,,2026-06-23 15:15,,https://prec.sxzwfw.gov.cn/jyxxzbjh/1067126.jhtml,1067126,,,2026-06-23
,,农业,公开招标,,,施工;主要设备;重要材料;,,,,,,,,,,,,,2026-06-23 12:00,,https://prec.sxzwfw.gov.cn/jyxxzbjh/1067077.jhtml,1067077,,,2026-06-23
,,房屋市政,公开招标,,,施工,,,,,,,,,,,,,2026-06-23 11:55,,https://prec.sxzwfw.gov.cn/jyxxzbjh/1067072.jhtml,1067072,,,2026-06-23
,,房屋市政,公开招标,,,勘察;设计;施工;监理;主要设备;重要材料,,,,,,,,,,,,,2026-06-23 11:25,,https://prec.sxzwfw.gov.cn/jyxxzbjh/1067061.jhtml,1067061,,,2026-06-23
,,房屋市政,公开招标,,,施工,,,,,,,,,,,,,2026-06-22 20:25,,https://prec.sxzwfw.gov.cn/jyxxzbjh/1066900.jhtml,1066900,,,2026-06-22
,,房屋市政,公开招标,,,施工;主要设备,,,,,,,,,,,,,2026-06-22 19:50,,https://prec.sxzwfw.gov.cn/jyxxzbjh/1066895.jhtml,1066895,,,2026-06-22
,,房屋市政,公开招标,,,施工,,,,,,,,,,,,,2026-06-22 17:35,,https://prec.sxzwfw.gov.cn/jyxxzbjh/1066823.jhtml,1066823,,,2026-06-22
,,房屋市政,公开招标,,,施工,,,,,,,,,,,,,2026-06-22 17:05,,https://prec.sxzwfw.gov.cn/jyxxzbjh/1066800.jhtml,1066800,,,2026-06-22
,,水利,公开招标,,,施工;,,,,,,,,,,,,,2026-06-22 16:40,,https://prec.sxzwfw.gov.cn/jyxxzbjh/1066782.jhtml,1066782,,,2026-06-22
,,房屋市政,公开招标,,,招标公告（资格预审公告）  预计发布时间：,,,,,,,,,,,,,2026-06-22 16:35,,https://prec.sxzwfw.gov.cn/jyxxzbjh/1066779.jhtml,1066779,,,2026-06-22
,,农业,公开招标,,,施工;主要设备;重要材料,,,,,,,,,,,,,2026-06-22 16:10,,https://prec.sxzwfw.gov.cn/jyxxzbjh/1066757.jhtml,1066757,,,2026-06-22
,,房屋市政,公开招标,,,施工,,,,,,,,,,,,,2026-06-22 15:25,,https://prec.sxzwfw.gov.cn/jyxxzbjh/1066717.jhtml,1066717,,,2026-06-22
,,房屋市政,公开招标,,,施工,,,,,,,,,,,,,2026-06-22 11:20,,https://prec.sxzwfw.gov.cn/jyxxzbjh/1066648.jhtml,1066648,,,2026-06-22
,,房屋市政,公开招标,,,施工,,,,,,,,,,,,,2026-06-22 11:20,,https://prec.sxzwfw.gov.cn/jyxxzbjh/1066647.jhtml,1066647,,,2026-06-22
,,房屋市政,公开招标,,,勘察;设计;施工,,,,,,,,,,,,,2026-06-22 11:05,,https://prec.sxzwfw.gov.cn/jyxxzbjh/1066639.jhtml,1066639,,,2026-06-22
,,null,公开招标,,,主要设备,,,,,,,,,,,,,2026-06-22 10:50,,https://prec.sxzwfw.gov.cn/jyxxzbjh/1066625.jhtml,1066625,,,2026-06-22
,,房屋市政,公开招标,,,施工,,,,,,,,,,,,,2026-06-22 10:00,,https://prec.sxzwfw.gov.cn/jyxxzbjh/1066581.jhtml,1066581,,,2026-06-22
,,能源,公开招标,,,主要设备,,,,,,,,,,,,,2026-06-22 09:50,,https://prec.sxzwfw.gov.cn/jyxxzbjh/1066570.jhtml,1066570,,,2026-06-22
,,能源,公开招标,,,主要设备,,,,,,,,,,,,,2026-06-22 09:20,,https://prec.sxzwfw.gov.cn/jyxxzbjh/1066551.jhtml,1066551,,,2026-06-22
