项目名称,交易地区,统一代码,项目类型,招标内容,招标人名称,发布类型,建设地点,建设内容及规模,项目总投资,招标方式,行政监督部门,发布单位,招标公告发布日期,招标文件获取时间,投标人资格要求,招标公告链接,变更公告链接,中标候选人名称,中标候选人公示链接,中标人,中标结果公示链接,终止公告链接,公告历史
平遥25处古城直管公房修缮工程,晋中市,2603-140728-89-01-509174,文物保护,施工,平遥县房产服务中心,自主发布,平遥古城内直管公房19处院落，包括:南巷35号、西湖景19号、马圈6号、砖圈门巷10号、仓巷43号、仓巷51号、沙巷46号、上西门79号、上西门108号、中壁景堡23号、北葫芦肚13号、火神庙27号、米粮市12号、米粮市40号、南大街27号、沙巷36号(2处)、沙巷42号(3处)、五道庙西巷4号(4处)和中沙院巷1号。,南巷35号等25处直管公房的拆除工程、台明及地面工程、墙体工程、木构件工程、木基层工程、木装修工程、屋面工程、院面及其他工程等内容，具体施工内容详见施工图纸及工程量清单。,1397.21（万元）,公开招标,平遥县文化和旅游局（文物保护）,平遥县房产服务中心,2026年06月,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,平遥25处古城直管公房修缮工程|https://prec.sxzwfw.gov.cn/jyxxzbjh/1065084.jhtml
运城市人民医院新院10kV电力外线接入工程,运城市,2601-140800-89-01-964406,能源,施工,运城市人民医院,自主发布,运城市安邑东路与禹都大道交叉口东北角。,新建空港变电站至运城市人民医院 10kV线路3.2千米，新建汤里变电站至运城市人民医院10kV线路7.25千米及相关配套基础设施。,3259.04（万元）,公开招标,运城市能源局,运城市人民医院,2026年04月,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,运城市人民医院新院10kV电力外线接入工程|https://prec.sxzwfw.gov.cn/jyxxzbjh/1065055.jhtml
代县服务区重卡充电站工程,山西省本级,2606-140923-89-01-210805,交通,勘察;设计;施工;主要设备;重要材料,山西大成高速公路有限公司,自主发布,山西省(区市)忻州市 代县(区)枣林(镇)三家村（代县服务区）,南、北区各新建1250kVA箱变1台，分别配960kW充电堆1套，4桩8枪（含1台液冷桩，3台风冷桩），并配储能4套。,492.56（万元）,公开招标,代县能源局,山西大成高速公路有限公司,2026年07月,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,代县服务区重卡充电站工程|https://prec.sxzwfw.gov.cn/jyxxzbjh/1065041.jhtml
浮山县养老康复中心建设项目,临汾市,2601-141027-89-01-128442,房屋市政,设计;施工;监理,浮山县民政和人力资源社会保 障局,自主发布,尧山东路与东环街交叉口东北角,"总建筑面积9537.89㎡，地上建筑面积9445.03㎡，包括养老康复中心主楼9353.23㎡,门房(含设备间)68.04㎡，氧气间23.76㎡;地下水泵房建筑面积92.86㎡,消防水池容积700m³,主要建设内容为建筑的土建、装饰及配套工程等。",6115.73（万元）,公开招标,浮山县城乡建设和交通运输局,浮山县民政和人力资源社会保 障局,2026年07月,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,浮山县养老康复中心建设项目|https://prec.sxzwfw.gov.cn/jyxxzbjh/1065008.jhtml
李村煤矿选煤厂 末煤系统改造工程,长治市,2603-140428-89-02-926057,能源,设计;施工;主要设备;重要材料,山西潞安矿业集团慈林山煤业有限公司李村煤矿,自主发布,长治市长子县大堡头镇南李村（李村煤矿矿区）,该项目不涉及新增用地，在现有主厂房新增 1 套末煤旋流器主洗系统、1 套粗煤泥干扰床分选系统、1 台加压过滤机；新建压滤车间，面积 1909㎡，安装3 台中压压滤机。,5848.96（万元）,公开招标,长子县能源局,山西潞安矿业集团慈林山煤业有限公司李村煤矿,2026年07月,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,李村煤矿选煤厂 末煤系统改造工程|https://prec.sxzwfw.gov.cn/jyxxzbjh/1064971.jhtml
保德县沿黄公路污水干管(二号桥-污水厂)改造工程,忻州市,2605-140931-89-01-174116,房屋市政,设计;施工,保德县住房和城乡建设管理局,自主发布,保德县县城,本项目为保德县沿黄公路污水千管（二号桥-污水广）改造工程，长度4.25km。主要建设内容包括污水管道顶管工程及附属设施。,4868.02（万元）,公开招标,忻州市住房和城乡建设局,保德县住房和城乡建设管理局,2026年07月,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,保德县沿黄公路污水干管(二号桥-污水厂)改造工程|https://prec.sxzwfw.gov.cn/jyxxzbjh/1064937.jhtml
中电科(山西)微电子装备智能制造产业基地,综改示范区,2307-140171-89-01-886425,房屋市政,设计;施工,西北电子装备技术研究所（中国电子科技集团公司第二研究所）,自主发布,山西转型综合改革示范区(潇河产业园区)太原起步区(北区)B3-07-03-02地块。位置位于潇河园区大运东路以西，大运路以东，小牛线以北，北格街以南。,建设研发中心（办公楼）1栋、智能制造类厂房1栋、微电子类厂房2栋、三代半导体类厂房2栋、新能源类厂房2栋、产品制造厂房1栋、半导体智能装备类厂房1栋、艺星公司生产广房1栋、动力中心1栋、甲类库1栋、氢气站1栋、硅烷站1栋及大门门卫等配套设施，新购设备及仪器24台（套），建设半导体智能装备调试生产线、新能源装备调试生产线、微电子装备调试生产线。预计项自建成后年产三代半导体单晶生长设备等半导体智能制造装备、全自动共晶贴片机等微电子装备、全自动硅片上下料机等新能源装备1200台（套）。,80000.00（万元）,公开招标,山西转型综合改革示范区管理委员会建设与公用事业管理部,西北电子装备技术研究所（中国电子科技集团公司第二研究所）,2026年07月,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,中电科(山西)微电子装备智能制造产业基地|https://prec.sxzwfw.gov.cn/jyxxzbjh/1064927.jhtml
山西省运城市稷山经济技术开发区125MW工商业屋顶光伏发电项目,山西省本级,2603-140853-89-01-200588,能源,设计;施工;监理,农发清洁能源(山西)有限公司,自主发布,山西省:运城市-稷山经济技术开发区,建设规模:利用稷山经济技术开发区现有企业屋顶总面积约830000M2。建设内容:建设分布式光伏发电总容量125MW，采用730WP单晶硅电池组件17万余块，消纳模式为自发自用，余电上网,31250.00（万元）,公开招标,稷山县能源局,农发清洁能源(山西)有限公司,2026/06/15,暂无,暂无,https://prec.sxzwfw.gov.cn/jyxxgczb/1065087.jhtml,暂无,暂无,暂无,暂无,暂无,暂无,山西省运城市稷山经济技术开发区125MW工商业屋顶光伏发电项目|https://prec.sxzwfw.gov.cn/jyxxzbjh/1064892.jhtml；山西省运城市稷山经济技术开发区125MW工商业屋顶光伏发电项目EPC总承包招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1065088.jhtml；山西省运城市稷山经济技术开发区125MW工商业屋顶光伏发电项目EPC总承包监理招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1065087.jhtml
武乡县蟠龙镇下型塘村崩塌地质灾害点治理工程,长治市,2602-140429-89-01-212280,国土资源,施工,武乡县自然资源局,自主发布,武乡县蟠龙镇下型塘村,该项目对下型塘村不稳定土质边坡进行防护治理，防护长度153.01m，防护高度0-21m，防护方式采用格构梁+锚索支护方式;其中:临时防护100m³，削坡1000m³，坡体回填3000m³，格构锚索4132m，坡面硬化1611㎡，护脚硬化37.5m³，坡底硬化759㎡等其他配套设施。,655.35（万元）,公开招标,长治市规划和自然资源局,武乡县自然资源局,2026年07月,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,武乡县蟠龙镇下型塘村崩塌地质灾害点治理工程|https://prec.sxzwfw.gov.cn/jyxxzbjh/1064890.jhtml
河东中学扩建项目,运城市,2606-140802-89-01-886715,房屋市政,施工,运城市盐湖区河东中学,自主发布,运城市盐湖区河东中学,"建设内容:项目在原校区新建1栋3层框架结构的教学楼，一座消防水池及泵房，配套建设管网、室外变压器及发电机组、室外管线衔接(高低压供电、弱电、给排水、消防、供暖)等基础设施。
建设规模:扩建后的初中部办学规模为4规制12个班。总建筑面积2723.9平方米，其中:教学楼2527.56平方米,消防水池及泵房196.34平方米(地上建筑面积37.82平方米，地下建筑面积158.52平方米)，硬化道路2000平方米",1427.73（万元）,公开招标,运城市盐湖区住房和城乡建设局,运城市盐湖区河东中学,2026年07月,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,河东中学扩建项目|https://prec.sxzwfw.gov.cn/jyxxzbjh/1064887.jhtml
阳曲县2025年“千万工程”精品示范村建设项目,太原市,2510-140122-89-01-346684,房屋市政,施工,阳曲县农业农村局,委托发布,阳曲县侯村乡西龙庄村(含韩寨自然村)、高村乡高村村。,（一）侯村乡西龙庄村，村口绿化补植补栽140㎡，沥青路面600㎡，村口标识牌2组。韩寨村外立面改造6000㎡，村民文化广场铺装1500㎡、绿化补植补栽2800㎡，种植土换填2800m³，健身器材10套，花箱20套，村口标识牌1组，围墙1200m，围栏1000m，座椅10 套，路灯50套，沥青路面恢复19000 ㎡，人行道路面恢复14000 ㎡，DN32-DN110给水管线及配套7215m，DN300污水管线4400m，DN150 污水入户管1000m，污水检查井210座，污水处理站1座，产业中心及配套490㎡等。（二）高村乡高村村，DN300污水管6000m，DN400污水管1000m，检查井400座、化粪池3座、污水处理站1座、盖板式雨水沟建设1000m，沥青路面恢复36174㎡、人行道路面恢复15134㎡、主路两侧护坡300m等。,6051.21（万元）,公开招标,阳曲县住房和城乡建设局,山西积庆项目管理有限公司,2026年07月,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,暂无,阳曲县2025年“千万工程”精品示范村建设项目|https://prec.sxzwfw.gov.cn/jyxxzbjh/1064873.jhtml
