公告类型,项目名称,所属行业,组织形式,开标时间,标书发售时间,公告内容,招标人,招标人地址,招标人联系人,招标人联系方式,招标代理机构,招标代理机构地址,招标代理机构联系人,招标代理机构联系方式,监督部门,监督部门地址,监督部门联系人,监督部门联系方式,依据文件,依据文号,发布日期,发布网站,公告历史
招标计划,汾西县2023年低级别文物保护修缮项目（汾西县薛家庄关帝庙保护修缮工程）,文物保护,公开招标,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,招标计划-2026.7.3,山西省公共资源交易平台,汾西县2023年低级别文物保护修缮项目（汾西县薛家庄关帝庙保护修缮工程）|https://prec.sxzwfw.gov.cn/jyxxzbjh/1070890.jhtml
招标计划,武乡县马牧河生态综合治理工程（变更）,水利,公开招标,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,招标计划-2026.7.3,山西省公共资源交易平台,武乡县马牧河生态综合治理工程（变更）|https://prec.sxzwfw.gov.cn/jyxxzbjh/1070923.jhtml
招标计划,霍州煤电集团河津五星煤业有限责任公司设备项目,无,公开招标,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,招标计划-2026.7.3,山西省公共资源交易平台,霍州煤电集团河津五星煤业有限责任公司设备项目招标计划变更公告|https://prec.sxzwfw.gov.cn/jyxxzbjh/1070926.jhtml
招标计划,五寨县南峰灌区(前所乡、砚城镇)渠系维修工程,水利,公开招标,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,招标计划-2026.7.3,山西省公共资源交易平台,五寨县南峰灌区(前所乡、砚城镇)渠系维修工程|https://prec.sxzwfw.gov.cn/jyxxzbjh/1070902.jhtml
招标计划,绛县经济开发区地下水污染防控与修复项目,工业,公开招标,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,招标计划-2026.7.3,山西省公共资源交易平台,绛县经济开发区地下水污染防控与修复项目|https://prec.sxzwfw.gov.cn/jyxxzbjh/1070965.jhtml
延期公告,汾西县再生水回用项目变更及,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,延期公告-2026.7.3,山西省公共资源交易平台,汾西县再生水回用项目变更及延期公告|https://prec.sxzwfw.gov.cn/jyxxgcgz/1070785.jhtml
招标计划,神池县主城区综合管网普查及地形测量项目,房屋市政,公开招标,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,招标计划-2026.7.3,山西省公共资源交易平台,神池县主城区综合管网普查及地形测量项目|https://prec.sxzwfw.gov.cn/jyxxzbjh/1070940.jhtml
变更公告,潇河晋中市榆次区城区段防洪能力提升工程勘察和初步设计招标,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,变更公告-2026.7.3,山西省公共资源交易平台,潇河晋中市榆次区城区段防洪能力提升工程勘察和初步设计招标变更公告|https://prec.sxzwfw.gov.cn/jyxxgcgz/1070817.jhtml
招标计划,省道229线（原省道虎山线）山阴县过境改线工程,交通,公开招标,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,招标计划-2026.7.3,山西省公共资源交易平台,省道229线（原省道虎山线）山阴县过境改线工程|https://prec.sxzwfw.gov.cn/jyxxzbjh/1070873.jhtml
澄清公告,阳城县蟒河镇泥河至出水道路提质改造工程施工招标二次,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,澄清公告-2026.7.3,山西省公共资源交易平台,阳城县蟒河镇泥河至出水道路提质改造工程施工招标二次澄清公告|https://prec.sxzwfw.gov.cn/jyxxgcgz/1070919.jhtml
